Function,sup1,sup2,sup3,sup4,sup5,salary,gender,disabled,race,yearsInPosition,yearsInProfession,age,cred1,cred2,highestDegree,inst1,inst2,inst3,inst4,inst5,instBudget,City,State_x,Zip,country,Category,instSize,instType,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99,Place Name,State_y,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
position15,7,0,0,126,30,58066.25,Woman,False,Caucasian,1.0,5.0,29.0,False,False,Master's Degree,10,0,0,126,30,1400000.0,Baltimore,MD,21201,United States,one,6368.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore (city),39.2946,-76.6252,
position9,0,0,0,34,1,47277.0,Woman,False,Caucasian,1.0,5.0,29.0,False,False,Bachelor's Degree,10,0,0,126,30,1400000.0,Baltimore,MD,21201,United States,one,6368.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore (city),39.2946,-76.6252,
position4,1,0,0,23,5,49185.80888,Man,False,Caucasian,3.0,6.0,32.0,False,False,Master's Degree,10,0,0,126,30,1400000.0,Baltimore,MD,21201,United States,one,6368.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore (city),39.2946,-76.6252,
position6,1,0,0,35,18,49428.1035,Man,False,Caucasian,2.0,4.0,31.0,False,False,Master's Degree,10,0,0,126,30,1400000.0,Baltimore,MD,21201,United States,one,6368.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore (city),39.2946,-76.6252,
position17,1,0,0,24,3,49632.4452,Woman,False,Caucasian,4.0,4.0,28.0,False,False,Master's Degree,10,0,0,126,30,1400000.0,Baltimore,MD,21201,United States,one,6368.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore (city),39.2946,-76.6252,
position6,0,0,0,35,18,41054.8215,Woman,False,Caucasian,1.0,1.0,26.0,False,False,Master's Degree,10,0,0,126,30,1400000.0,Baltimore,MD,21201,United States,one,6368.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore (city),39.2946,-76.6252,
position17,0,0,0,7,8,42081.19204,Woman,False,African American,5.0,5.0,35.0,False,False,Bachelor's Degree,10,0,0,126,30,1400000.0,Baltimore,MD,21201,United States,one,6368.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore (city),39.2946,-76.6252,
position23,0,0,0,8,0,36500.0,Man,False,African American,5.0,5.0,55.0,False,False,No College Degree,10,0,0,126,30,1400000.0,Baltimore,MD,21201,United States,one,6368.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore (city),39.2946,-76.6252,
position1,11,4,2,196,0,77266.0,Man,False,Caucasian,4.0,15.0,38.0,False,True,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position3,4,2,0,55,0,61301.0,Woman,False,Caucasian,3.0,11.0,35.0,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
