Zip,B19013_001,no_male_hs_p,no_female_hs_p,at_least_hs_male_p,at_least_hs_female_p,at_least_bach_male_p,at_least_bach_female_p,male_unemployment,female_unemployment,snap,renter,median_rent,foreign_born,Value for Owner-Occupied Housing Units:  Total: ,"Value for Owner-Occupied Housing Units:  Less than $10,000 ","Value for Owner-Occupied Housing Units:  $10,000 to $14,999 ","Value for Owner-Occupied Housing Units:  $15,000 to $19,999 ","Value for Owner-Occupied Housing Units:  $20,000 to $24,999 ","Value for Owner-Occupied Housing Units:  $25,000 to $29,999 ","Value for Owner-Occupied Housing Units:  $30,000 to $34,999 ","Value for Owner-Occupied Housing Units:  $35,000 to $39,999 ","Value for Owner-Occupied Housing Units:  $40,000 to $49,999 ","Value for Owner-Occupied Housing Units:  $50,000 to $59,999 ","Value for Owner-Occupied Housing Units:  $60,000 to $69,999 ","Value for Owner-Occupied Housing Units:  $70,000 to $79,999 ","Value for Owner-Occupied Housing Units:  $80,000 to $89,999 ","Value for Owner-Occupied Housing Units:  $90,000 to $99,999 ","Value for Owner-Occupied Housing Units:  $100,000 to $124,999 ","Value for Owner-Occupied Housing Units:  $125,000 to $149,999 ","Value for Owner-Occupied Housing Units:  $150,000 to $174,999 ","Value for Owner-Occupied Housing Units:  $175,000 to $199,999 ","Value for Owner-Occupied Housing Units:  $200,000 to $249,999 ","Value for Owner-Occupied Housing Units:  $250,000 to $299,999 ","Value for Owner-Occupied Housing Units:  $300,000 to $399,999 ","Value for Owner-Occupied Housing Units:  $400,000 to $499,999 ","Value for Owner-Occupied Housing Units:  $500,000 to $749,999 ","Value for Owner-Occupied Housing Units:  $750,000 to $999,999 ","Value for Owner-Occupied Housing Units:  $1,000,000 or more ",Sex by Age:  Male: ,Sex by Age:  Male: Under 5 years ,Sex by Age:  Male: 5 to 9 years ,Sex by Age:  Male: 10 to 14 years ,Sex by Age:  Male: 15 to 17 years ,Sex by Age:  Male: 18 and 19 years ,Sex by Age:  Male: 20 years ,Sex by Age:  Male: 21 years ,Sex by Age:  Male: 22 to 24 years ,Sex by Age:  Male: 25 to 29 years ,Sex by Age:  Male: 30 to 34 years ,Sex by Age:  Male: 35 to 39 years ,Sex by Age:  Male: 40 to 44 years ,Sex by Age:  Male: 45 to 49 years ,Sex by Age:  Male: 50 to 54 years ,Sex by Age:  Male: 55 to 59 years ,Sex by Age:  Male: 60 and 61 years ,Sex by Age:  Male: 62 to 64 years ,Sex by Age:  Male: 65 and 66 years ,Sex by Age:  Male: 67 to 69 years ,Sex by Age:  Male: 70 to 74 years ,Sex by Age:  Male: 75 to 79 years ,Sex by Age:  Male: 80 to 84 years ,Sex by Age:  Male: 85 years and over ,Sex by Age:  Female: ,Sex by Age:  Female: Under 5 years ,Sex by Age:  Female: 5 to 9 years ,Sex by Age:  Female: 10 to 14 years ,Sex by Age:  Female: 15 to 17 years ,Sex by Age:  Female: 18 and 19 years ,Sex by Age:  Female: 20 years ,Sex by Age:  Female: 21 years ,Sex by Age:  Female: 22 to 24 years ,Sex by Age:  Female: 25 to 29 years ,Sex by Age:  Female: 30 to 34 years ,Sex by Age:  Female: 35 to 39 years ,Sex by Age:  Female: 40 to 44 years ,Sex by Age:  Female: 45 to 49 years ,Sex by Age:  Female: 50 to 54 years ,Sex by Age:  Female: 55 to 59 years ,Sex by Age:  Female: 60 and 61 years ,Sex by Age:  Female: 62 to 64 years ,Sex by Age:  Female: 65 and 66 years ,Sex by Age:  Female: 67 to 69 years ,Sex by Age:  Female: 70 to 74 years ,Sex by Age:  Female: 75 to 79 years ,Sex by Age:  Female: 80 to 84 years ,Sex by Age:  Female: 85 years and over ,commute_over_60,full_time,part_time,high_rent_burden,extreme_rent_burden,Function,sup1,sup2,sup3,sup4,sup5,salary,gender,disabled,race,yearsInPosition,yearsInProfession,age,cred1,cred2,highestDegree,inst1,inst2,inst3,inst4,inst5,instBudget,City,State_x,country,Category,instSize,instType,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99,Place Name,State_y,State Abbreviation,County,Latitude,Longitude,Unnamed: 60
1109,34671.0,26.524260857264103,25.7092001334965,73.4757391427359,74.29079986650349,12.1657943131985,14.239626209812,9.463198671831769,7.69170085200379,36.371343789741395,49.311148791861,802.0,11.0425900944305,4783,4,10,21,0,29,0,22,33,52,82,190,187,360,997,1173,811,349,225,98,87,27,23,0,3,14535,1057,1141,1170,883,1330,605,602,678,871,457,716,704,990,1026,652,161,350,125,252,317,204,162,82,16599,1416,949,1179,936,1205,403,580,942,889,830,876,1064,1023,944,787,304,412,167,230,423,477,252,311,4.27978281699138,64.4004850689708,35.599514931029205,61.530195572748795,33.849129593810396,position4,0,0,1,40,1,49000.0,Man,False,Caucasian,8.0,8.0,50.0,False,False,Bachelor's Degree,6,1,4,150,4,1094000.0,Springfield,MA,United States,one,3284.0,Private Institution,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503,Springfield,Massachusetts,MA,Hampden,42.1145,-72.5543,
1109,34671.0,26.524260857264103,25.7092001334965,73.4757391427359,74.29079986650349,12.1657943131985,14.239626209812,9.463198671831769,7.69170085200379,36.371343789741395,49.311148791861,802.0,11.0425900944305,4783,4,10,21,0,29,0,22,33,52,82,190,187,360,997,1173,811,349,225,98,87,27,23,0,3,14535,1057,1141,1170,883,1330,605,602,678,871,457,716,704,990,1026,652,161,350,125,252,317,204,162,82,16599,1416,949,1179,936,1205,403,580,942,889,830,876,1064,1023,944,787,304,412,167,230,423,477,252,311,4.27978281699138,64.4004850689708,35.599514931029205,61.530195572748795,33.849129593810396,position15,0,0,1,60,0,40500.0,Woman,False,Caucasian,5.0,7.0,31.0,False,False,Master's Degree,6,1,4,150,4,1094000.0,Springfield,MA,United States,one,3284.0,Private Institution,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503,Springfield,Massachusetts,MA,Hampden,42.1145,-72.5543,
1109,34671.0,26.524260857264103,25.7092001334965,73.4757391427359,74.29079986650349,12.1657943131985,14.239626209812,9.463198671831769,7.69170085200379,36.371343789741395,49.311148791861,802.0,11.0425900944305,4783,4,10,21,0,29,0,22,33,52,82,190,187,360,997,1173,811,349,225,98,87,27,23,0,3,14535,1057,1141,1170,883,1330,605,602,678,871,457,716,704,990,1026,652,161,350,125,252,317,204,162,82,16599,1416,949,1179,936,1205,403,580,942,889,830,876,1064,1023,944,787,304,412,167,230,423,477,252,311,4.27978281699138,64.4004850689708,35.599514931029205,61.530195572748795,33.849129593810396,position9,0,0,1,30,0,40500.0,Man,False,Caucasian,1.0,6.0,28.0,False,True,Master's Degree,6,1,4,150,4,1094000.0,Springfield,MA,United States,one,3284.0,Private Institution,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503,Springfield,Massachusetts,MA,Hampden,42.1145,-72.5543,
1109,34671.0,26.524260857264103,25.7092001334965,73.4757391427359,74.29079986650349,12.1657943131985,14.239626209812,9.463198671831769,7.69170085200379,36.371343789741395,49.311148791861,802.0,11.0425900944305,4783,4,10,21,0,29,0,22,33,52,82,190,187,360,997,1173,811,349,225,98,87,27,23,0,3,14535,1057,1141,1170,883,1330,605,602,678,871,457,716,704,990,1026,652,161,350,125,252,317,204,162,82,16599,1416,949,1179,936,1205,403,580,942,889,830,876,1064,1023,944,787,304,412,167,230,423,477,252,311,4.27978281699138,64.4004850689708,35.599514931029205,61.530195572748795,33.849129593810396,position22,0,0,0,15,0,40500.0,Woman,False,Caucasian,1.0,5.0,33.0,False,False,Master's Degree,6,1,4,150,4,1094000.0,Springfield,MA,United States,one,3284.0,Private Institution,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503,Springfield,Massachusetts,MA,Hampden,42.1145,-72.5543,
1609,41935.0,15.785861358956803,16.5965325702744,84.2141386410432,83.4034674297256,43.3596431022649,37.081299444538004,5.378657487091219,6.3009234111895704,17.545282508786197,54.24439037577721,854.0,17.703551016583898,3385,0,18,0,0,22,21,0,0,12,0,26,11,0,84,83,163,144,406,675,883,438,326,54,19,10825,698,289,449,340,1260,756,680,525,801,363,362,555,489,756,684,245,326,172,181,222,304,189,179,10521,316,418,533,211,1346,632,525,599,604,400,455,514,495,653,687,260,300,218,291,338,275,181,270,7.050839659535309,59.541792547834795,40.458207452165205,53.0027410914528,31.1238474956392,position1,2,0,0,150,0,51250.0,Man,False,Caucasian,1.0,3.0,27.0,False,False,Master's Degree,3,0,0,115,0,85000.0,Worcester,MA,United States,one,2813.0,Private Institution,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503,Worcester,Massachusetts,MA,Worcester,42.2826,-71.8277,
1609,41935.0,15.785861358956803,16.5965325702744,84.2141386410432,83.4034674297256,43.3596431022649,37.081299444538004,5.378657487091219,6.3009234111895704,17.545282508786197,54.24439037577721,854.0,17.703551016583898,3385,0,18,0,0,22,21,0,0,12,0,26,11,0,84,83,163,144,406,675,883,438,326,54,19,10825,698,289,449,340,1260,756,680,525,801,363,362,555,489,756,684,245,326,172,181,222,304,189,179,10521,316,418,533,211,1346,632,525,599,604,400,455,514,495,653,687,260,300,218,291,338,275,181,270,7.050839659535309,59.541792547834795,40.458207452165205,53.0027410914528,31.1238474956392,position9,0,0,0,25,0,35000.0,Man,False,Caucasian,0.0,0.0,29.0,False,False,Bachelor's Degree,3,0,0,115,0,85000.0,Worcester,MA,United States,one,2813.0,Private Institution,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503,Worcester,Massachusetts,MA,Worcester,42.2826,-71.8277,
1609,41935.0,15.785861358956803,16.5965325702744,84.2141386410432,83.4034674297256,43.3596431022649,37.081299444538004,5.378657487091219,6.3009234111895704,17.545282508786197,54.24439037577721,854.0,17.703551016583898,3385,0,18,0,0,22,21,0,0,12,0,26,11,0,84,83,163,144,406,675,883,438,326,54,19,10825,698,289,449,340,1260,756,680,525,801,363,362,555,489,756,684,245,326,172,181,222,304,189,179,10521,316,418,533,211,1346,632,525,599,604,400,455,514,495,653,687,260,300,218,291,338,275,181,270,7.050839659535309,59.541792547834795,40.458207452165205,53.0027410914528,31.1238474956392,position11,0,0,0,50,0,35000.0,Woman,False,Caucasian,0.0,0.0,33.0,False,False,Bachelor's Degree,3,0,0,115,0,85000.0,Worcester,MA,United States,one,2813.0,Private Institution,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503,Worcester,Massachusetts,MA,Worcester,42.2826,-71.8277,
1610,30359.0,22.708187543736898,26.6133333333333,77.29181245626309,73.3866666666667,20.7837648705388,16.106666666666698,8.92723180795199,8.969300356077369,33.0818817720477,77.3693594842957,854.0,23.4386663349092,1650,0,0,33,10,0,0,0,0,0,10,0,21,59,81,63,230,171,310,263,328,14,11,26,20,11748,894,629,736,582,1340,501,582,768,1004,820,718,544,643,724,404,97,198,87,71,148,138,46,74,12366,652,602,591,616,1641,836,970,833,736,748,775,666,564,549,328,128,188,81,127,244,74,151,266,4.47928331466965,60.6456755679554,39.3543244320446,54.4052472965786,31.590143591561798,position1,0,0,0,40,1,41859.0,Man,False,Caucasian,3.0,3.0,29.0,False,False,Master's Degree,1,0,0,40,1,29500.0,Worcester,MA,United States,one,2926.0,Private Institution,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503,Worcester,Massachusetts,MA,Worcester,42.2492,-71.8108,
1845,95199.0,4.43773234200743,4.55296303943836,95.56226765799259,95.4470369605616,63.1389405204461,49.628329547800895,4.14537742215367,4.0335254059717105,3.88340017607356,23.300401056441398,1300.0,9.685324619974429,7841,0,0,11,0,0,0,16,0,6,0,0,0,26,78,158,176,229,520,424,1857,1234,2252,651,203,13490,726,1034,1092,699,440,182,225,484,435,700,902,1177,1223,1061,810,323,377,218,273,389,367,171,182,14666,672,1011,1358,541,563,215,263,357,524,625,1072,1331,1380,853,885,436,403,253,173,470,471,301,509,14.8647619047619,71.090387374462,28.909612625538003,40.050377833753096,20.403022670025198,position1,0,0,2,53,2,70000.0,Man,False,Caucasian,2.0,3.0,27.0,False,True,Master's Degree,1,0,2,53,2,280000.0,North Andover,MA,United States,one,2694.0,Private Institution,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503,North Andover,Massachusetts,MA,Essex,42.6826,-71.109,
1970,56203.0,12.767276107840098,11.587153518123698,87.2327238921599,88.4128464818763,38.8518748063217,36.7870469083156,9.647029267679939,5.31119419397405,14.5110231769361,48.2589033352176,1050.0,16.798616355265402,9153,19,0,0,20,32,27,11,38,34,44,15,30,17,127,84,285,272,1123,1687,3495,1073,479,141,100,19305,1328,906,938,772,708,521,468,756,1481,1594,1524,1183,1457,1702,1143,441,437,326,367,446,258,289,260,21746,1196,1209,861,735,893,647,325,872,1546,1638,1487,1305,1436,1504,1564,568,716,416,368,671,579,481,729,16.7978626973904,72.266409912927,27.733590087073,48.541642263090104,24.44652688298,position1,2,0,1,30,18,65000.0,Woman,False,Caucasian,1.0,6.0,30.0,False,False,Master's Degree,3,0,1,60,18,280000.0,Salem,MA,United States,one,9456.0,Public Institution,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503,Salem,Massachusetts,MA,Essex,42.5151,-70.9003,
